Name,Purpose,Quantity,Total Cost (INR),Total Cost (USD),Link,Distributor
Akko Creamy Cyan Switch,Switches for the keyboard,87,"_2,598 ",$28.06,https://stackskb.com/store/akko-creamy-cyan-switch-pack-of-45-pre-order/,StacksKB
PREMIUM Salt Lake Cherry PBT Keycaps,Keycaps for the keyboard,1,"_3,399 ",$36.51,https://curiositycaps.in/products/premium-salt-lake-cherry-pbt-keycaps,StacksKB
Durock Smokey Screw-In Stabilizers V2 (4+1 w/ 6.25u spacebar),Stabilizers for longer keys,1,"_1,595 ",$17.22,https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/,StacksKB
EC11 10K Rotary Encoder,RotaryEncoder for Volume Control,1,N/A,N/A,Self Sourced,Amazon
Raspberry Pi Pico,MCU for the keyboard,1,_599 ,$6.47,https://www.amazon.in/gp/product/B08WPNM7JB,Amazon
1N4148 Diodes,Diodes for the switches,1,_149 ,$1.61,https://www.amazon.in/gp/product/B084ZP5BJ3,Amazon
PCB,Main PCB of the keyboard,5,"_3,859.87 ",$41.49,https://jlcpcb.com/,JLCPCB
M3 x 8mm Bolt,Screws,10,_210 ,$2.26,https://www.amazon.in/dp/B07X8PHXKB,Amazon
M3 Nuts,Screws,12,_74 ,$0.79,https://www.amazon.in/dp/B09J92WY5Q,Amazon
M3 x 5mm Heatset Insert,Screws,25,_196 ,$2.11,https://www.amazon.in/dp/B0CX1BS7DJ,Amazon
Case,Case for the keyboard,1,_500 ,$5.40,Print Legion,Print Legion
,,,,,,
,,,,,,
,,,"_13,180 ",$141.92,,
